id,year,victim,role,actor_or_malware,initial_access_public,planes,primary_impact,disruption_reported,attack_path,path_confidence,sources
INC-11,2024,CDK Global,Retail SaaS,BlackSuit,"Intrusion into a shared dealer management SaaS platform",cloud;supply_chain,imp_prod_stop,"About 15,000 dealerships reverted to manual processes for roughly two weeks; industry losses estimated above USD 1 billion; a ransom of about USD 25 million was reportedly paid",ext_actor|saas_dms|imp_prod_stop,partial,https://edition.cnn.com/2024/07/11/business/cdk-hack-ransom-tweny-five-million-dollars;https://www.techtarget.com/whatis/feature/The-CDK-Global-outage-Explaining-how-it-happened
INC-12,2024,Hyundai Motor Europe,OEM,Black Basta,"Ransomware intrusion into the European corporate estate",it;identity,imp_ip,"About 3 TB of corporate data claimed by the actor",ext_actor|it_email|it_user_ws|it_fileshare|imp_ip,low,https://www.bleepingcomputer.com/news/security/hyundai-motor-europe-hit-by-black-basta-ransomware-attack/
INC-13,2023,Nissan Oceania,OEM,Akira,"Access through remote-access infrastructure",it,imp_ip,"Personal data of about 100,000 individuals affected",ext_actor|it_vpn|it_user_ws|it_fileshare|imp_ip,medium,https://www.bleepingcomputer.com/news/security/nissan-australia-cyberattack-claimed-by-akira-ransomware-gang/
INC-14,2023,Yanfeng (Stellantis supplier),Tier-1,Qilin,"Ransomware intrusion at a Tier-1 interiors supplier",supply_chain;it,imp_prod_stop,"Reported knock-on disruption to Stellantis assembly operations in North America",ext_actor|sup_tier1|sup_edi|imp_prod_stop,medium,https://www.bleepingcomputer.com/news/security/stellantis-production-halted-after-attack-on-auto-parts-giant-yanfeng/
INC-15,2025,Tata Technologies,Engineering services,Hunters International,"Ransomware intrusion at an engineering and product-development services provider",supply_chain;it,imp_ip,"IT services suspended; about 1.4 TB of data claimed by the actor",ext_actor|sup_tier1|imp_ip,medium,https://www.bleepingcomputer.com/news/security/tata-technologies-hit-by-ransomware-attack-it-services-suspended/
INC-16,2025,Sensata Technologies,Tier-1,Ransomware,"Ransomware intrusion affecting corporate and plant-support systems",supply_chain;it,imp_prod_stop,"Shipping, receiving and manufacturing operations disrupted across multiple sites",ext_actor|sup_tier1|sup_edi|imp_prod_stop,medium,https://www.bleepingcomputer.com/news/security/sensata-technologies-hit-by-ransomware-attack-impacting-operations/
INC-17,2025,Stellantis,OEM,ShinyHunters-linked SaaS campaign,"Abuse of access to a third-party SaaS customer-service platform",cloud;supply_chain,imp_pii,"Contact data of a reported 18 million records exposed; no production impact",ext_actor|saas_crm|imp_pii,high,https://www.bleepingcomputer.com/news/security/automaker-giant-stellantis-confirms-data-breach-after-salesforce-hack/;https://techcrunch.com/2025/09/22/automaker-giant-stellantis-says-customers-personal-data-stolen-during-breach/
INC-18,2025,Jaguar Land Rover,OEM,Scattered Lapsus$ Hunters,"Not officially disclosed; public reporting points to exploitation of Internet-facing enterprise software and to third-party credentials that were never revoked",it;identity;supply_chain,imp_prod_stop,"Global production halted from 31 August 2025 with a phased restart from early October; the Cyber Monitoring Centre classified it a Category 3 systemic event costing the UK economy about GBP 1.9 billion and affecting more than 5,000 organisations; a GBP 1.5 billion loan guarantee was extended by the UK government",ext_actor|it_edge_app|it_erp|imp_prod_stop,disputed,https://cybermonitoringcentre.com/2025/10/22/cyber-monitoring-centre-statement-on-the-jaguar-land-rovercyber-incident-october-2025/;https://www.computerweekly.com/news/366633395/Jaguar-Land-Rover-attack-to-cost-UK-19bn-say-cyber-monitors
INC-19,2022,Toyota (T-Connect),OEM cloud,Credential exposure,"Access key for a data server published in a public code repository for almost five years",cloud,imp_pii,"Email addresses and customer management numbers of about 296,000 customers exposed",ext_actor|cld_tenant|cld_storage|imp_pii,medium,https://www.bleepingcomputer.com/news/security/toyota-discloses-data-breach-after-access-key-exposed-on-github/
INC-20,2023,MKS Instruments,Semiconductor equipment supplier,Ransomware,"Ransomware intrusion at an upstream equipment and components supplier",supply_chain,imp_prod_stop,"Production and shipments suspended; about USD 200 million of revenue impact reported, with a customer reporting a further USD 250 million impact",ext_actor|sup_tier1|sup_edi|imp_prod_stop,medium,https://www.bleepingcomputer.com/news/security/mks-instruments-faces-200-million-loss-after-february-ransomware-attack/
