step_id,priority,src,dst,src_name,dst_name,technique,technique_name,question_p,question_delta,question_effort,current_p,current_delta,current_effort_h,your_p,your_delta,your_effort_h,comment
sup_tier1|imp_ip|T1567.002,0.07623,sup_tier1,imp_ip,Tier-1 supplier IT estate,Theft of engineering and design data,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,"Given an attacker who already controls 'Tier-1 supplier IT estate', how often does T1567.002 against 'Theft of engineering and design data' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
sup_tier1|sup_edi|T1078,0.07534,sup_tier1,sup_edi,Tier-1 supplier IT estate,EDI / JIT ordering and logistics interface,T1078,Valid Accounts,"Given an attacker who already controls 'Tier-1 supplier IT estate', how often does T1078 against 'EDI / JIT ordering and logistics interface' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|it_user_ws|T1189,0.07432,ext_actor,it_user_ws,External threat actor,Employee workstation,T1189,Drive-by Compromise,"Given an attacker who already controls 'External threat actor', how often does T1189 against 'Employee workstation' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_edge_app|it_erp|T1210,0.07414,it_edge_app,it_erp,Internet-facing enterprise application,ERP and production planning core,T1210,Exploitation of Remote Services,"Given an attacker who already controls 'Internet-facing enterprise application', how often does T1210 against 'ERP and production planning core' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_vpn|it_erp|T1210,0.06895,it_vpn,it_erp,Remote access VPN gateway,ERP and production planning core,T1210,Exploitation of Remote Services,"Given an attacker who already controls 'Remote access VPN gateway', how often does T1210 against 'ERP and production planning core' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_user_ws|it_fileshare|T1039,0.06630,it_user_ws,it_fileshare,Employee workstation,Engineering and business file shares,T1039,Data from Network Shared Drive,"Given an attacker who already controls 'Employee workstation', how often does T1039 against 'Engineering and business file shares' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
saas_dms|imp_pii|T1567.002,0.06533,saas_dms,imp_pii,Dealer management platform,Customer personal data breach,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,"Given an attacker who already controls 'Dealer management platform', how often does T1567.002 against 'Customer personal data breach' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|it_email|T1566.001,0.06448,ext_actor,it_email,External threat actor,Corporate mail service,T1566.001,Phishing: Spearphishing Attachment,"Given an attacker who already controls 'External threat actor', how often does T1566.001 against 'Corporate mail service' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
it_email|it_user_ws|T1204.002,0.06448,it_email,it_user_ws,Corporate mail service,Employee workstation,T1204.002,User Execution: Malicious File,"Given an attacker who already controls 'Corporate mail service', how often does T1204.002 against 'Employee workstation' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
sca_server|imp_prod_stop|T0813,0.06324,sca_server,imp_prod_stop,SCADA / line control server,Production stoppage,T0813,Denial of Control,"Given an attacker who already controls 'SCADA / line control server', how often does T0813 against 'Production stoppage' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
id_ad|ops_ot_ad|T1078,0.06187,id_ad,ops_ot_ad,On-premises Active Directory (tier 0),OT domain controller,T1078,Valid Accounts,"Given an attacker who already controls 'On-premises Active Directory (tier 0)', how often does T1078 against 'OT domain controller' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
sup_edi|imp_prod_stop|T1489,0.05821,sup_edi,imp_prod_stop,EDI / JIT ordering and logistics interface,Production stoppage,T1489,Service Stop,"Given an attacker who already controls 'EDI / JIT ordering and logistics interface', how often does T1489 against 'Production stoppage' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
cld_storage|imp_pii|T1530,0.05811,cld_storage,imp_pii,Object storage and data lake,Customer personal data breach,T1530,Data from Cloud Storage,"Given an attacker who already controls 'Object storage and data lake', how often does T1530 against 'Customer personal data breach' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ops_mes|imp_prod_stop|T1486,0.05312,ops_mes,imp_prod_stop,Manufacturing execution system,Production stoppage,T1486,Data Encrypted for Impact,"Given an attacker who already controls 'Manufacturing execution system', how often does T1486 against 'Production stoppage' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ops_ews|sca_server|T0886,0.05209,ops_ews,sca_server,Engineering workstation,SCADA / line control server,T0886,Remote Services,"Given an attacker who already controls 'Engineering workstation', how often does T0886 against 'SCADA / line control server' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
ext_actor|cld_tenant|T1552.001,0.05176,ext_actor,cld_tenant,External threat actor,Cloud tenant control plane,T1552.001,Unsecured Credentials: Credentials In Files,"Given an attacker who already controls 'External threat actor', how often does T1552.001 against 'Cloud tenant control plane' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
dmz_jump|ops_ews|T1021.001,0.05120,dmz_jump,ops_ews,OT jump server,Engineering workstation,T1021.001,Remote Services: Remote Desktop Protocol,"Given an attacker who already controls 'OT jump server', how often does T1021.001 against 'Engineering workstation' succeed? (VL/L/M/H/VH or a probability)",How often would your monitoring detect AND contain that step before the attacker builds on it? (VL/L/M/H/VH or a probability),How much hands-on time would the step cost a competent attacker? (VL/L/M/H/VH or hours),,,,,,,
